Category,Research Question
Unexplored/New,How can explainable AI models be developed to provide insights into the decisionmaking process for COVID diagnosis and prognosis and what are the benefits of using these models in clinical practice
Improvement,How can transfer learning and domain adaptation techniques be improved to enhance the performance of models for COVID diagnosis and prognosis
Improvement,How can realtime systems be developed to provide rapid and accurate diagnosis and prognosis for COVID and what are the benefits of using these systems in clinical practice
Gap,How do deep learning models perform across different demographics healthcare settings and geographic locations
Gap,What are the optimal protocols for radiomic feature extraction and validation in chest radiographs
Unexplored/New,How can multimodal imaging data eg CT scans MRI ultrasound be integrated with chest radiographs to improve the understanding of COVID and its complications
Unexplored/New,How can explainable AI models be developed to provide insights into the decisionmaking process and identify the most relevant radiomic features contributing to COVID predictions
Improvement,How can clinical variables eg patient demographics medical history laboratory results be incorporated into deep learning models to improve the accuracy and generalizability of COVID predictions
Improvement,How can transfer learningbased approaches be developed to leverage pretrained models and finetune them on smaller datasets reducing the need for large amounts of labeled data
Gap,What are the optimal CT imaging protocols for predicting COVID severity and how can they be standardized to improve accuracy and reliability
Gap,What are the limitations of domain adaptation approaches in improving the generalizability of AI models for COVID prediction and how can they be addressed in realworld settings
Unexplored/New,Can CT imaging parameters predict COVID outcomes beyond severity such as mortality hospitalization or longterm sequelae
Unexplored/New,Can AIpowered solutions be adapted to lowresource settings to improve healthcare access and outcomes for COVID patients
Improvement,Can transfer learning improve the performance of AI models for COVID prediction
Improvement,Can the incorporation of multimodal data improve the performance of AI models for COVID prediction
Gap,How well do machine learning models developed in one healthcare setting or population generalize to other settings or populations
Gap,How do machine learning models perform over time particularly in patients with changing clinical characteristics or disease progression
Unexplored/New,How do machine learning models perform when integrated with other data sources such as electronic health records genomic data or wearable device data
Unexplored/New,How do machine learning models perform when personalized to individual patients or subgroups
Improvement,Can transfer learning techniques improve the performance of machine learning models
Improvement,Can explainable machine learning techniques improve the interpretability of models
Gap,How can we develop more robust semisupervised learning methods that effectively handle class imbalance and generate highquality pseudolabels
Gap,How can we extensively explore the potential of transfer learning in COVID diagnosis using pretrained models finetuning and transfer learningbased ensemble methods
Unexplored/New,How can we develop effective multimodal fusion methods that combine data from different sources eg CT scans Xrays and clinical data to improve the accuracy and robustness of COVID diagnosis
Unexplored/New,How can we develop effective explainability and interpretability techniques to understand the decisionmaking process of deep learning models for COVID diagnosis
Improvement,How can we develop more effective data augmentation techniques that generate diverse and realistic synthetic data to improve the performance of deep learning models for COVID diagnosis
Improvement,How can we develop more effective pseudolabel generation methods that improve the performance of semisupervised learning models for COVID diagnosis
